code,product_name,nutrition_grades,brands,categories,energy-kcal_100g,sugars_100g,salt_100g,fat_100g
6111035000430,Sidi Ali,a,Sidi Ali,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",0.0,1.4,0.0,0.0
6111242100992,Perly,unknown,Jaouda,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Cream cheeses,fr:Fromages-frais-sucres",97.0,,,3.0
6111035002175,Sidi Ali,a,sidi ali,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",,,0.065,
6111035000058,Eau minérale naturelle,a,"Les Eaux Minérales d'oulmès,Sidi Ali","Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",,,0.065,
6111252421568,اكوافينا,a,"pepsi,PepsiCo","Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux de table",0.0,0.0,0.000508,0.0
6111266962187,Lait,b,Jaouda,"Dairies,Meals,Milks (liquid and powder),Milks,Semi-skimmed milks",45.0,0.0,0.225,1.5
3274080005003,CRISTALINE Eau De Source 1.5L,a,Cristaline,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans sucre ajouté,Eaux minérales naturelles",0.0,0.0,0.0525,0.0
6111246721261,Fromage blanc nature,a,MILKY FOOD PROFESSIONAL,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,fr:Fromages blancs,fr:Fromages blancs natures",80.6,0.0,0.0,12.0
6111242101180,Lait entier UHT,b,Jaouda,"Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT",58.0,0.0,0.0,3.0
3073781208481,,unknown,La vache qui rit,,,,,
59476931,covalact smantana 20% 140g,unknown,,,199.0,2.2,0.1,20.0
4311527561858,Tomaten,unknown,Gut & Günstig,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Vegetables based foods, Fresh foods, Fresh plant-based foods, Fresh vegetables, en:tomatoes",,,,
4750020050429,Cornetti rigatti,b,Dobele,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Pastas, Wheats, Durum wheats, Penne, Penne rigate, en:noodles",,2.2,0.01,1.5
4000415778507,Crunchy Peanut Butter Chocolate,e,Schogetten,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Filled chocolates",560.0,52.0,0.52,35.0
8410087294049,Muffins con pepitas de chocolate,unknown,Auchan,"Botanas,Snacks dulces,Galletas y pasteles,Pasteles,Muffins",,,,
8594003840180,Citron,unknown,Jupí,Sirupy,,,,
5941143028832,Takis volcano,e,,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps",517.0,1.8,1.9,30.0
4306205816627,Bio Datteln Getrocknet,d,,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Fruits et produits dérivés,Produits déshydratés,Fruits,Aliments à base de plantes séchées,Fruits secs,Dattes,Dattes dénoyautées,de:Bio Datteln",278.0,64.0,0.0,0.5
7066307373165,Cannellini Bohnen,a,Dm,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Canned foods,Legumes,Canned plant-based foods,Canned legumes,Canned common beans",93.0,1.2,0.35,0.4
8690504063803,Albeni Bar Cake,e,Ülker,Candy chocolate bars,438.0,35.0,0.49,21.0
5010292975103,Mini Chocolate Filled Churros,unknown,Unearthed,,438.575525812619,27.0,0.65,23.0
8590345412481,Cashew And Cranberries,unknown,Nice Bites,,509.0,29.0,,29.0
8681185086137,Fellas bar,unknown,,,407.0,29.0,0.15,14.0
6111242106949,Jben,d,Jaouda,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse",235.0,0.0,0.46,21.0
6111128000071,Ain Saïss,a,Danone,"Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté",0.0,0.0,0.0,0.0
6111035502828,Eau minéral naturelle,a,Ain atlas,"Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",0.0,0.0,0.0,0.0
6111035000027,6111035000027,a,Sidi Ali,Eaux minérales naturelles,0.0,0.0,0.0065,0.0
50184453,Marmite Yeast Extract,e,"Marmite,Unilever","Dairies, Fermented foods, Fermented milk products, Buttermilks, en:yeast-extract-spreads",260.0,1.2,10.8,0.5
6111242100985,,a,Jaouda,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures",101.0,0.0,0.0,6.0
6111032009665,Lait Frais,b,centrale danone,"Dairies, Milks, Fresh milks, en:semi-skimmed-milks",45.0,0.0,0.0,1.5
6111099003897,Margarine de table,d,lilia,"Plant-based foods and beverages,Dairies,Plant-based foods,Fats,Spreads,Plant-based spreads,Vegetable fats,Spreadable fats,Animal fats,Dairy spreads,Margarines,Milkfat,Butters,salted-spreads",675.0,0.0,0.5,75.0
